ID,SessionID,StartTime,EndTime,Duration
postprocessAndSetupHandler,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698182990,1698182990,0
verifyHandler,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698182990,1698182990,0
PostProcessComplete,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698182996,1698182996,25
SetupComplete,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698182996,1698183034,38149
CompileCircuit,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698182996,1698183005,9172
ComputeSetup,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183005,1698183033,28519
PostProcessComplete,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183040,1698183040,2
SetupComplete,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183040,1698183079,38776
CompileCircuit,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183040,1698183049,9110
ComputeSetup,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183049,1698183078,29202
PostProcessComplete,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183067,1698183067,3
SetupComplete,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183067,1698183108,40860
CompileCircuit,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183067,1698183080,12138
ComputeSetup,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183080,1698183108,28663
PostProcessComplete,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183107,1698183107,2
SetupComplete,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183107,1698183145,38197
CompileCircuit,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183107,1698183116,9127
ComputeSetup,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183116,1698183145,28586
ComputeWitness,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183177,1698183177,0
VerifyCircuit,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698183177,1698183177,2
postprocessAndSetupHandler,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698182990,1698182990,0
verifyHandler,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698182990,1698182990,0
PostProcessComplete,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698182996,1698182996,25
SetupComplete,4dbad58c-bb27-4ca1-9c76-c9696e2143e9,1698182996,1698183034,38149
