ID,SessionID,StartTime,EndTime,Duration
postprocessAndSetupHandler,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642476,1697642476,0
verifyHandler,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642476,1697642476,0
PostProcessComplete,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642480,1697642480,28
SetupComplete,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642480,1697642518,37699
CompileCircuit,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642480,1697642495,15557
ComputeSetup,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642495,1697642518,22104
ComputeWitness,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642552,1697642552,1
VerifyCircuit,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642552,1697642656,103200
PostProcessComplete,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642582,1697642582,3
SetupComplete,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642582,1697642618,36365
CompileCircuit,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642582,1697642596,14222
ComputeSetup,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642596,1697642618,22104
ComputeWitness,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642656,1697642656,1
VerifyCircuit,cc9008f7-0bf8-4166-bcf8-657e1c99689f,1697642656,-62135596800,0
postprocessAndSetupHandler,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642707,1697642707,0
verifyHandler,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642707,1697642707,0
PostProcessComplete,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642723,1697642723,37
SetupComplete,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642723,1697642761,38102
CompileCircuit,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642723,1697642738,15889
ComputeSetup,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642738,1697642761,22172
ComputeWitness,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642797,1697642797,1
VerifyCircuit,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642797,1697642797,9
postprocessAndSetupHandler,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642707,1697642707,0
verifyHandler,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642707,1697642707,0
PostProcessComplete,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642723,1697642723,37
SetupComplete,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642723,1697642761,38102
CompileCircuit,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642723,1697642738,15889
ComputeSetup,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642738,1697642761,22172
ComputeWitness,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642797,1697642797,1
VerifyCircuit,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642797,1697642797,9
PostProcessComplete,9068cb11-40af-4270-ac3a-55973f3be2b2,1697643381,1697643381,3
SetupComplete,9068cb11-40af-4270-ac3a-55973f3be2b2,1697643381,1697643419,37950
CompileCircuit,9068cb11-40af-4270-ac3a-55973f3be2b2,1697643381,1697643397,15578
ComputeSetup,9068cb11-40af-4270-ac3a-55973f3be2b2,1697643397,1697643419,22327
ComputeWitness,9068cb11-40af-4270-ac3a-55973f3be2b2,1697643455,1697643455,1
VerifyCircuit,9068cb11-40af-4270-ac3a-55973f3be2b2,1697643455,1697643455,9
postprocessAndSetupHandler,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642707,1697642707,0
verifyHandler,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642707,1697642707,0
PostProcessComplete,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642723,1697642723,37
SetupComplete,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642723,1697642761,38102
CompileCircuit,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642723,1697642738,15889
ComputeSetup,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642738,1697642761,22172
ComputeWitness,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642797,1697642797,1
VerifyCircuit,9068cb11-40af-4270-ac3a-55973f3be2b2,1697642797,1697642797,9
PostProcessComplete,9068cb11-40af-4270-ac3a-55973f3be2b2,1697643381,1697643381,3
SetupComplete,9068cb11-40af-4270-ac3a-55973f3be2b2,1697643381,1697643419,37950
CompileCircuit,9068cb11-40af-4270-ac3a-55973f3be2b2,1697643381,1697643397,15578
