ID,SessionID,StartTime,EndTime,Duration
postprocessAndSetupHandler,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731101,1697731101,0
verifyHandler,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731101,1697731101,0
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731110,1697731245,135463
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731195,-62135596800,0
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731208,-62135596800,0
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,-62135596800,0
SetupComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,1697731283,37591
CompileCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,1697731261,15437
ComputeSetup,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731261,1697731283,22111
ComputeWitness,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731309,1697731309,1
VerifyCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731309,1697731309,9
postprocessAndSetupHandler,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731101,1697731101,0
verifyHandler,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731101,1697731101,0
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731110,1697731245,135463
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731195,1697731312,116935
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731208,-62135596800,0
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,-62135596800,0
SetupComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,1697731283,37591
CompileCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,1697731261,15437
ComputeSetup,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731261,1697731283,22111
ComputeWitness,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731309,1697731309,1
VerifyCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731309,1697731309,9
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731312,-62135596800,0
SetupComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731312,1697731350,37546
CompileCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731312,1697731328,15233
ComputeSetup,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731328,1697731350,22271
ComputeWitness,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731376,1697731376,1
VerifyCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731376,1697731376,9
postprocessAndSetupHandler,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731101,1697731101,0
verifyHandler,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731101,1697731101,0
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731110,1697731245,135463
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731195,1697731312,116935
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731208,1697731380,171435
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,-62135596800,0
SetupComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,1697731283,37591
CompileCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,1697731261,15437
ComputeSetup,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731261,1697731283,22111
ComputeWitness,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731309,1697731309,1
VerifyCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731309,1697731309,9
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731312,-62135596800,0
SetupComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731312,1697731350,37546
CompileCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731312,1697731328,15233
ComputeSetup,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731328,1697731350,22271
ComputeWitness,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731376,1697731376,1
VerifyCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731376,1697731376,9
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731380,-62135596800,0
SetupComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731380,1697731416,36637
CompileCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731380,1697731394,14434
ComputeSetup,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731394,1697731416,22170
ComputeWitness,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731443,1697731443,1
VerifyCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731443,1697731443,9
postprocessAndSetupHandler,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731101,1697731101,0
verifyHandler,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731101,1697731101,0
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731110,1697731245,135463
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731195,1697731312,116935
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731208,1697731380,171435
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,1697731446,200517
SetupComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,1697731283,37591
CompileCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731245,1697731261,15437
ComputeSetup,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731261,1697731283,22111
ComputeWitness,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731309,1697731309,1
VerifyCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731309,1697731309,9
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731312,-62135596800,0
SetupComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731312,1697731350,37546
CompileCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731312,1697731328,15233
ComputeSetup,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731328,1697731350,22271
ComputeWitness,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731376,1697731376,1
VerifyCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731376,1697731376,9
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731380,-62135596800,0
SetupComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731380,1697731416,36637
CompileCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731380,1697731394,14434
ComputeSetup,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731394,1697731416,22170
ComputeWitness,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731443,1697731443,1
VerifyCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731443,1697731443,9
PostProcessComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731446,-62135596800,0
SetupComplete,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731446,1697731483,37517
CompileCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731446,1697731461,14927
ComputeSetup,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731461,1697731483,22526
ComputeWitness,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731510,1697731510,1
VerifyCircuit,7971219e-5eaa-4f74-a7f7-4475389ad2f3,1697731510,1697731510,9
