ID,SessionID,StartTime,EndTime,Duration
postprocessAndSetupHandler,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719410,1697719410,0
verifyHandler,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719410,1697719410,0
PostProcessComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719889,1697719889,32
SetupComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719889,1697719927,38013
CompileCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719889,1697719905,15813
ComputeSetup,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719905,1697719927,22157
ComputeWitness,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719955,1697719955,2
VerifyCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719955,1697720092,137437
PostProcessComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719957,1697719957,3
SetupComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719957,1697719994,36688
CompileCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719957,1697719972,14478
ComputeSetup,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719972,1697719994,22166
ComputeWitness,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720022,1697720022,1
VerifyCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720022,-62135596800,0
PostProcessComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720025,1697720025,3
SetupComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720025,1697720063,37529
CompileCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720025,1697720040,15203
ComputeSetup,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720040,1697720063,22285
ComputeWitness,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720092,1697720092,1
VerifyCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720092,-62135596800,0
postprocessAndSetupHandler,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719410,1697719410,0
verifyHandler,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719410,1697719410,0
PostProcessComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719889,1697719889,32
SetupComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719889,1697719927,38013
CompileCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719889,1697719905,15813
ComputeSetup,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719905,1697719927,22157
ComputeWitness,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719955,1697719955,2
VerifyCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719955,1697720092,137437
PostProcessComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719957,1697719957,3
SetupComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719957,1697719994,36688
CompileCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719957,1697719972,14478
ComputeSetup,76842b80-aa89-46c2-8ec2-85f66e02750b,1697719972,1697719994,22166
ComputeWitness,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720022,1697720022,1
VerifyCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720022,1697720162,139835
PostProcessComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720025,1697720025,3
SetupComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720025,1697720063,37529
CompileCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720025,1697720040,15203
ComputeSetup,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720040,1697720063,22285
ComputeWitness,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720092,1697720092,1
VerifyCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720092,-62135596800,0
PostProcessComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720096,1697720096,3
SetupComplete,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720096,1697720133,36726
CompileCircuit,76842b80-aa89-46c2-8ec2-85f66e02750b,1697720096,1697720110,14388
