ID,SessionID,StartTime,EndTime,Duration
postprocessAndSetupHandler,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697722960,1697722960,0
verifyHandler,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697722960,1697722960,0
PostProcessComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723273,40
SetupComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723311,37889
CompileCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723289,15633
ComputeSetup,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723289,1697723311,22213
ComputeWitness,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723345,1697723345,1
VerifyCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723345,1697723345,9
postprocessAndSetupHandler,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697722960,1697722960,0
verifyHandler,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697722960,1697722960,0
PostProcessComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723273,40
SetupComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723311,37889
CompileCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723289,15633
ComputeSetup,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723289,1697723311,22213
ComputeWitness,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723345,1697723345,1
VerifyCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723345,1697723345,9
PostProcessComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723348,1697723348,3
SetupComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723348,1697723386,37455
CompileCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723348,1697723363,15196
ComputeSetup,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723363,1697723386,22211
ComputeWitness,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723419,1697723419,1
VerifyCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723419,1697723419,9
postprocessAndSetupHandler,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697722960,1697722960,0
verifyHandler,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697722960,1697722960,0
PostProcessComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723273,40
SetupComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723311,37889
CompileCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723289,15633
ComputeSetup,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723289,1697723311,22213
ComputeWitness,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723345,1697723345,1
VerifyCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723345,1697723345,9
PostProcessComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723348,1697723348,3
SetupComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723348,1697723386,37455
CompileCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723348,1697723363,15196
ComputeSetup,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723363,1697723386,22211
ComputeWitness,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723419,1697723419,1
VerifyCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723419,1697723419,9
PostProcessComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723423,1697723423,3
SetupComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723423,1697723461,37671
CompileCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723423,1697723438,15376
ComputeSetup,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723438,1697723460,22247
ComputeWitness,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723494,1697723494,1
VerifyCircuit,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723494,1697723494,9
postprocessAndSetupHandler,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697722960,1697722960,0
verifyHandler,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697722960,1697722960,0
PostProcessComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723273,40
SetupComplete,aa422625-75f4-487c-a2a4-24a7aecb08f3,1697723273,1697723311,37889
